1,senator carl krueger thinks ipods can kill you,0.08299,0.0664,0.1983,0.07472,0.2966,0.2809
156,scientists tout cocoa s health benefits,0.02752,0.008476,0.05909,0.4864,0.1444,0.2741
157,can north korea be trusted,0.06555,0.02056,0.2149,0.3281,0.1645,0.2064
158,trailblazing trio protects city by the bay,0.06425,0.04584,0.03618,0.5521,0.09276,0.2089
159,ganguly handed india squad call up,0.05498,0.006049,0.04542,0.4512,0.1783,0.264
160,beauticians cut curl offer stroke prevention info,0.04433,0.03367,0.2864,0.2201,0.22,0.1956
161,studios sign off on movie downloads,0.06389,0.03431,0.1679,0.383,0.2311,0.1198
162,global web of suspects in child rape download,0.1603,0.1204,0.1924,0.09071,0.2659,0.1703
163,libby prosecutors await judge s rulings,0.09685,0.07558,0.07718,0.3798,0.1687,0.2018
164,police probe church fires half mile apart,0.1478,0.1281,0.2511,0.1259,0.2993,0.04782
165,second hanging also went awry iraq tape shows,0.1943,0.1059,0.3079,0.04971,0.2503,0.09192
166,stepping back in time at ski resort,0.08399,0.04288,0.1007,0.3635,0.225,0.184
167,iraqi journalists add laws to list of dangers,0.1172,0.07125,0.2186,0.1066,0.2089,0.2774
168,boy scouts blamed for starting wildfire,0.06201,0.03279,0.1761,0.2856,0.2189,0.2247
169,report links humans to global warming,0.1165,0.0399,0.1104,0.231,0.3231,0.179
170,stenson defends his title at dubai,0.04175,0.01459,0.0547,0.5617,0.1844,0.1429
171,iraqi linked to sunni bloc is held in plot military says,0.1183,0.05619,0.1562,0.2761,0.1501,0.2432
172,china launches two satellites into orbit,0.0621,0.01056,0.05755,0.4451,0.05241,0.3722
173,north africa feared as staging ground for terror,0.05679,0.02179,0.1158,0.3069,0.3137,0.185
174,breast cancer drug promises hope,0.02103,0.0005153,0.1393,0.3991,0.1576,0.2825
175,mortar assault leaves at least dead,0.05146,0.01298,0.1366,0.2558,0.3524,0.1907
176,building a memorial to a son one child at a time,0.04968,0.06007,0.111,0.3302,0.2015,0.2475
177,northeaster cancels flights shuts schools,0.1158,0.07773,0.4394,0.01415,0.3101,0.04275
178,india to test new nuclear missile,0.09187,0.05197,0.1844,0.3957,0.09645,0.1796
179,dell to cut bonuses trim management,0.06451,0.01715,0.05769,0.4037,0.1629,0.2941
180,uk workers on alert for letter bombs,0.06195,0.1164,0.1865,0.1719,0.1474,0.3158
181,storm leaves behind major travel troubles,0.0487,0.03247,0.4642,0.06242,0.2701,0.1221
182,rupert murdoch s secret tivo,0.02365,0,0.03461,0.2957,0.3087,0.3374
183,house passes anti terrorism measure manila,0.07542,0.02542,0.1435,0.3504,0.2682,0.137
184,genghis khan beer mongolia grimaces,0.06397,0.0128,0.07011,0.3438,0.04491,0.4644
185,youtube founders split m payout,0.02585,0.03197,0.04533,0.294,0.2377,0.3652
186,former teacher poses for playboy,0.137,0.08245,0.04233,0.4065,0.1543,0.1774
187,madonna files adoption papers in malawi,0.01592,0.009837,0.04346,0.5639,0.03939,0.3275
188,eye on cosmos is lost to short circuit on hubble,0.07142,0.04086,0.207,0.3383,0.1841,0.1582
189,all african amputee football games kick off,0,0,0.001335,0.6149,0,0.3838
190,forecasters expect toasty,0.06397,0.0128,0.07011,0.3438,0.04491,0.4644
191,corn stoves popping up in u s homes,0.1159,0.03468,0.2162,0.3044,0.1438,0.1851
192,chvez threatens to jail violators of price controls,0.1655,0.07683,0.111,0.303,0.08499,0.2587
193,scientists discover miracle in the depths,0.05556,0.006854,0.1038,0.4671,0.0496,0.3171
194,google unveils do it yourself search engine,0.02096,0.03292,0.1516,0.2318,0.1594,0.4034
195,ready to eat chicken breasts recalled due to suspected listeria,0.1148,0.03776,0.205,0.3594,0.09966,0.1833
196,teen allegedly armed by mom turns self in,0.1525,0.1003,0.1161,0.06818,0.2541,0.3088
197,town packs gym to mourn killed in fire,0.08176,0.008534,0.2945,0.1513,0.3173,0.1465
198,cocoa could be antidote to age related diseases says new study,0.03765,0.03759,0.1746,0.1768,0.3799,0.1933
199,roundup protests erupt despite state of siege in guinea,0.1094,0.06397,0.3332,0.1298,0.2091,0.1547
200,bush authorized iranians arrest in iraq rice says,0.2064,0.1572,0.2947,0.04922,0.2249,0.06749
201,anglican and catholic churches could merge,0.05976,0.05624,0.05359,0.4908,0.09601,0.2436
202,cousin gunman was srebrenica survivor,0.07178,0.05553,0.1938,0.1222,0.2189,0.3377
203,australia tells bush to speed up guantanamo trial,0.06066,0.02539,0.1747,0.3703,0.07675,0.2923
204,european space agency,0.007645,0.00153,0.07037,0.09066,0.005367,0.8243
205,the secrets people reveal,0.02596,0.014,0.1143,0.6387,0.01638,0.1907
206,news baby pandas baby pandas baby pandas,0.005721,0.01274,0.08688,0.2362,0.3095,0.349
207,health canada issues advice on canned tuna,0.0753,0.03611,0.3082,0.2669,0.1226,0.191
208,grammys ready to name winners,0.2119,0.07427,0.08257,0.3159,0.07465,0.2407
209,asean urges north korea resolution,0.06555,0.02056,0.2149,0.3281,0.1645,0.2064
210,rebels to join nepal parliament,0.1652,0.0496,0.2105,0.2494,0.1439,0.1815
211,rice u s won t pull plug on iraq,0.1587,0.03429,0.2833,0.2429,0.1351,0.1457
212,anglicans rebuke u s branch on same sex unions,0.118,0.03139,0.2594,0.2757,0.1382,0.1774
213,somalia declares state of emergency,0.06438,0.04182,0.3467,0.2226,0.2165,0.108
214,hussein co defendants executed,0.1653,0.1709,0.1343,0.05999,0.3752,0.0943
215,james brown s year old son left out of will,0.04301,0.02589,0.04174,0.4998,0.1921,0.1975
216,ms adds office to vista coupon program,0.04568,0.02097,0.03507,0.3207,0.1732,0.4043
217,britain to limit workers from romania bulgaria,0.04337,0.01537,0.1276,0.3357,0.2751,0.2029
218,us airways boosts bid for delta,0.01542,0.1165,0,0.4633,0.06336,0.3414
219,hpv vaccination stirs heated debate in america,0.171,0.0829,0.1625,0.1585,0.302,0.1232
220,full recovery expected for marathon winner,0.04132,0.02358,0.1342,0.497,0.1477,0.1562
221,beckham won t play again for real,0.1269,0.06608,0.1116,0.309,0.1492,0.2371
222,cultural revolutionary the ipod is five,0.01764,0.01888,0.1365,0.5685,0.07463,0.1839
223,village buried by inches of snow,0.07645,0.08251,0.1432,0.2413,0.1841,0.2724
224,mountain glaciers melting faster united nations says,0.07235,0.03215,0.05808,0.363,0.1852,0.2892
225,ice storm smacks roads power,0.02829,0.02071,0.5045,0.04611,0.2794,0.121
226,ex border patrol agent beaten in prison,0.1431,0.06803,0.1421,0.1653,0.1239,0.3576
227,israel to install cameras to show live mughrabi footage,0.1738,0.08451,0.1112,0.2597,0.1797,0.1911
228,latest updates on world s top stories,0.02303,0,0.3847,0.2782,0.05439,0.2596
229,lily allen wins web music award,0.05213,0.01323,0.09862,0.5587,0.04234,0.235
230,rowling heartbroken euphoric at potter s end,0.05141,0.005373,0.1183,0.2483,0.3418,0.2348
231,hamas fatah leaders pledge to meet until they reach agreement,0.07911,0.04194,0.2195,0.2592,0.1563,0.2439
232,new vaccine for cervical cancer could prove useful in men too,0.06116,0.0221,0.1402,0.3801,0.159,0.2375
233,mbeki world cup planning on track,0.02993,0.001031,0.2646,0.3637,0.111,0.2298
234,money makeovers,0.06397,0.0128,0.07011,0.3438,0.04491,0.4644
235,punter charged with stabbing asks to live outside state,0.1089,0.06255,0.1667,0.1356,0.2488,0.2774
236,emi warns on profits boss goes,0.1077,0.07965,0.1903,0.2237,0.2509,0.1477
237,gunman fine before shooting,0.09386,0.0965,0.1953,0.1061,0.2749,0.2334
238,svindal claims are golden double,0.1381,0.2811,0.1242,0.09947,0.2545,0.1026
239,ethiopia readies for millennium all its own,0.02794,0.0256,0,0.6067,0.0291,0.3107
240,mancuso sparks u s celebrations,0.133,0.03658,0.2487,0.2194,0.1928,0.1695
241,nasa spacecraft to measure sun,0.06413,0.04406,0.04267,0.3654,0.07212,0.4117
242,teen repellent inventor wins infamous prize,0.05856,0.02556,0.05404,0.5756,0.07223,0.214
243,peron held over s rights abuses,0.1392,0.08839,0.08483,0.4061,0.09157,0.1899
244,kim jong il bans japanese cars in north korea,0.06947,0.05648,0.1241,0.3011,0.2298,0.2192
245,canadians tracked in child porn ring,0.2001,0.2337,0.127,0.07149,0.1794,0.1884
246,ryan o neal injured son s girlfriend,0.02815,0.004098,0.06656,0.5818,0.1274,0.1919
247,messi makes barcelona squad return,0.007221,0.001445,0.007914,0.835,0.00507,0.1434
248,brith airways baggage charges cause confusion,0.012,0.1614,0.0166,0.3038,0.05728,0.449
249,a film star in kampala conjuring aminos ghost,0.1165,0.14,0.09924,0.2435,0.1837,0.2171
250,opponent is put on the spot over remarks about clinton,0.03362,0.107,0.09869,0.3032,0.06786,0.3896
251,apple set for massive market gains,0.2339,0.02866,0.05227,0.1749,0.2201,0.2903
252,vista s hyped security will be tested,0.05298,0.01296,0.1498,0.3671,0.2365,0.1806
253,dating difficult for harry potter,0.08493,0.07493,0.01248,0.469,0.1384,0.2203
254,uk letter bombs may be from extremist drivers,0.07247,0.06003,0.08687,0.2489,0.2379,0.2938
255,bush vows cooperation on health care,0.1636,0.08855,0.1975,0.1873,0.1467,0.2163
256,baby born on turnpike after dad misses exit,0.05042,0.07037,0.2371,0.01867,0.4454,0.178
257,parachutist dies at bridge jump festival,0.0218,0,0.1383,0.04739,0.5024,0.2901
258,citing spy agencies study democrats seek iraq changes,0.2013,0.1726,0.1544,0.05772,0.2303,0.1837
259,airlines uk airport runway unsafe,0.08533,0.1212,0.2307,0.1503,0.2512,0.1612
260,man gets second chance at space ride,0.05961,0.05561,0.07275,0.3258,0.1891,0.2971
261,archaeologists find remains of couple locked in a hug,0.03844,0.06681,0.03991,0.1421,0.2996,0.4132
262,study detects a gene linked to alzheimer s,0.1445,0.1602,0.1597,0.1206,0.2021,0.213
263,weight loss drug to be sold over the counter,0.1058,0.08106,0.06589,0.3071,0.1343,0.3058
264,zach braff says he has mild depression,0.01134,0.03119,0.05211,0.3058,0.2657,0.3339
265,apple warns itunes users to wait on vista,0.2355,0.02177,0.01463,0.114,0.207,0.4072
266,guy sweat is babe magnet,0.009497,0.06509,0.03502,0.2397,0.08162,0.5691
267,in egypt rice speaks softly,0.1256,0.1385,0.1783,0.1269,0.324,0.1067
268,ex jonbenet suspect child porn case dropped,0.1778,0.1577,0.1096,0.104,0.1362,0.3147
269,court tv accused killer tells jury a love story,0.05665,0.03499,0.06357,0.3086,0.3202,0.2159
270,us to urge nato afghan spring offensive,0.1728,0.03964,0.3014,0.1616,0.1818,0.1427
271,texan allegedly joined somalia rebel plot,0.06907,0.01026,0.1159,0.5185,0.1178,0.1685
272,tensions as hungary marks uprising,0.02333,0.01247,0.2161,0.2718,0.2904,0.1859
273,idf shells lebanese army positions across northern border,0.1491,0.09859,0.2535,0.08159,0.3289,0.08842
274,north korea claims nuclear test,0.0667,0.02035,0.2283,0.3738,0.1124,0.1984
275,beckham to l a for the game not fame,0.06578,0.04968,0.2059,0.4432,0.1248,0.1106
276,hungary police tackle violent protestors,0.1973,0.1523,0.2373,0.1438,0.2102,0.05908
277,arthurs upsets robredo in first round at the st petersburg open,0.0959,0.034,0.09485,0.3214,0.1169,0.337
278,brazil air force cites faults and confusion in fatal crash,0.08859,0.03758,0.1281,0.3136,0.156,0.2763
279,war is close ethiopia tells somali rebels,0.1132,0.02031,0.3028,0.1315,0.2756,0.1565
280,democrats plot bush troop increase censure,0.2204,0.1624,0.2711,0.02026,0.1767,0.1491
281,bangladesh ferry sinks dead,0.06385,0.0008368,0.2982,0.009959,0.5518,0.07545
282,sale of chrysler possible,0.0284,0.07075,0.1042,0.3838,0.2698,0.143
283,lawyer for deceased nazi era collaborator papon vows to bury him,0.1908,0.1103,0.07058,0.241,0.2662,0.1211
284,mixed reaction to china s africa push,0.03823,0.01976,0.05912,0.3981,0.1944,0.2903
285,jon stewart mocks benefits of cnn s i,0.05085,0.03407,0.08922,0.4975,0.1826,0.1457
286,top colombia official resigns,0.08582,0.1098,0.2669,0.1303,0.2664,0.1407
287,toshiba portege r,0.06397,0.0128,0.07011,0.3438,0.04491,0.4644
288,luxury digs in south carolina s lowcountry,0,0.001133,0.04526,0.5524,0.2331,0.1681
289,th person dies after receiving flu shot,0.006492,0.006492,0.1855,0.1832,0.4548,0.1635
290,bears watch as lead slips away,0,0,0,0.8354,0,0.1646
291,jail me i ate ivory coast chocolate,0.1314,0.06304,0.1302,0.2497,0.1649,0.2608
292,teacher charged with sex assault,0.08561,0.1526,0.09631,0.1705,0.2207,0.2743
293,college tuition continues climbing,0.2744,0.02278,0.2782,0.02163,0.3461,0.05685
294,matthews lays off turkey workers,0.04967,0.0007939,0.1354,0.3555,0.3016,0.157
295,space life search turns to tv,0.05791,0.03293,0.1362,0.1777,0.2481,0.3471
296,myspace welcomes french friends,0.08526,0.01613,0.0255,0.3876,0.0605,0.425
297,hackers attack root servers,0.2009,0.1095,0.2835,0.06738,0.2795,0.05917
298,ice storm coating midwest,0.02839,0.01196,0.4939,0.05739,0.2755,0.1329
299,gop senators to force debate on troops in iraq,0.2058,0.04582,0.2602,0.1236,0.2888,0.07585
300,ex teacher guilty in nude pictures scheme,0.0806,0.09278,0.1841,0.1057,0.1933,0.3436
301,years on but couple still hugging,0.069,0.05179,0.08354,0.4285,0.1499,0.2173
302,pats fourth quarter rally finishes chargers,0.2709,0.03508,0.2888,0.1009,0.1065,0.1978
303,review alpha dog misses the point,0.01034,0.04501,0.0592,0.2444,0.2995,0.3416
304,andromeda involved in galactic collision,0.1531,0.0819,0.1477,0.1525,0.3313,0.1335
305,injured marathon winner leaves hospital,0.02438,0.001092,0.0815,0.599,0.2388,0.05522
306,kate is marrying doherty,0.04049,0.02458,0.1531,0.4561,0.06173,0.264
307,baghdad plan is a success iraq prime minister tells bush,0.1941,0.104,0.1495,0.1214,0.248,0.183
308,beckham outlines reasons for move,0.06205,0.03673,0,0.5541,0.1246,0.2225
309,al qaeda chiefs are seen to regain power,0.0924,0.1372,0.3275,0.1626,0.1526,0.1277
310,start late retire rich,0.01507,0.0005621,0.09253,0.3698,0.2927,0.2293
311,autos drive european gains,0.06397,0.0128,0.07011,0.3438,0.04491,0.4644
312,immigrants and french reach deal in standoff,0.09879,0.0611,0.04555,0.4127,0.1071,0.2748
